"filename", "language", "TypeScript", "SCSS", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\function\record\detail.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 11
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\function\record\search.ts", "TypeScript", 49, 0, 0, 0, 3, 7, 59
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\recordConverter\ControllerOfTableForResolvingID.ts", "TypeScript", 144, 0, 0, 0, 4, 20, 168
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\test\RecordDataBase.test.ts", "TypeScript", 60, 0, 0, 0, 12, 3, 75
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\test\RecordDataBaseForFireBase.test.ts", "TypeScript", 84, 0, 0, 0, 13, 3, 100
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\test\addExampleDataToFirestore.ts", "TypeScript", 20, 0, 0, 0, 1, 2, 23
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\test\exampleRecords.ts", "TypeScript", 39, 0, 0, 0, 1, 4, 44
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\test\exampledata.ts", "TypeScript", 42, 0, 0, 0, 0, 7, 49
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\tmpDataBase\RecordDataBase.ts", "TypeScript", 97, 0, 0, 0, 4, 23, 124
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\type\IGameSystemInfo.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\type\IItemOfResolveTableToName.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 11
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\server\type\IRecordDataBase.ts", "TypeScript", 6, 0, 0, 0, 0, 3, 9
