"filename", "language", "TypeScript", "JSON", "SCSS", "HTML", "comment", "blank", "total"
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/background.scss", "SCSS", 0, 0, 68, 0, 0, 2, 70
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/flex.scss", "SCSS", 0, 0, 10, 0, 0, 0, 10
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/fontChanger.scss", "SCSS", 0, 0, 29, 0, 0, 2, 31
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/margin.scss", "SCSS", 0, 0, 21, 0, 0, 4, 25
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/space.scss", "SCSS", 0, 0, 16, 0, 0, 0, 16
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/underline.scss", "SCSS", 0, 0, 3, 0, 0, 1, 4
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/unused.scss", "SCSS", 0, 0, 3, 0, 0, 0, 3
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/scss/object/utility/width.scss", "SCSS", 0, 0, 25, 0, 0, 1, 26
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/APICaller.ts", "TypeScript", 22, 0, 0, 0, 0, 2, 24
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/HeaderController.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 21
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/HistoryAdministrator.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 30
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/LoginAdministrator.ts", "TypeScript", 40, 0, 0, 0, 5, 1, 46
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/StateAdminister.ts", "TypeScript", 63, 0, 0, 0, 6, 3, 72
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/Administrator/TransitionAdminister.ts", "TypeScript", 33, 0, 0, 0, 0, 8, 41
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/App.ts", "TypeScript", 76, 0, 0, 0, 0, 5, 81
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/exampleInputData.json", "JSON", 0, 40, 0, 0, 0, 4, 44
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/firebase.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/index.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/interface/AppInterfaces.ts", "TypeScript", 26, 0, 0, 0, 0, 3, 29
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/interface/PageStatesStructure.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/test/exampleData.json", "JSON", 0, 50, 0, 0, 0, 0, 50
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/type/TransitionInfo.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/utility/aboutElement.ts", "TypeScript", 24, 0, 0, 0, 1, 5, 30
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/IView.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/client/view/main.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
