"filename", "language", "TypeScript", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\stateInfo.scss", "SCSS", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\tags.scss", "SCSS", 0, 35, 0, 0, 0, 4, 39
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\textInput.scss", "SCSS", 0, 26, 0, 0, 0, 0, 26
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\title.scss", "SCSS", 0, 16, 0, 0, 0, 2, 18
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\component\userIcon.scss", "SCSS", 0, 5, 0, 0, 0, 1, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\project\KSSRsHeader.scss", "SCSS", 0, 20, 0, 0, 0, 1, 21
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\project\titlePostHeader.scss", "SCSS", 0, 18, 0, 0, 0, 1, 19
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\background.scss", "SCSS", 0, 134, 0, 0, 0, 4, 138
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\flex.scss", "SCSS", 0, 13, 0, 0, 0, 0, 13
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\fontChanger.scss", "SCSS", 0, 51, 0, 0, 0, 7, 58
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\height.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\indent.scss", "SCSS", 0, 21, 0, 0, 0, 2, 23
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\margin.scss", "SCSS", 0, 53, 0, 0, 0, 3, 56
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\space.scss", "SCSS", 0, 29, 0, 0, 0, 2, 31
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\underline.scss", "SCSS", 0, 15, 0, 0, 0, 2, 17
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\unused.scss", "SCSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\scss\object\utility\width.scss", "SCSS", 0, 33, 0, 0, 0, 2, 35
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\APICaller.ts", "TypeScript", 27, 0, 0, 0, 0, 4, 31
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\HeaderController.ts", "TypeScript", 39, 0, 0, 0, 0, 2, 41
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\HistoryAdministrator.ts", "TypeScript", 112, 0, 0, 0, 0, 6, 118
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\LoginAdministrator.ts", "TypeScript", 108, 0, 0, 0, 6, 4, 118
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\PageNotificationAdministrator.ts", "TypeScript", 73, 0, 0, 0, 0, 3, 76
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\StateAdminister.ts", "TypeScript", 62, 0, 0, 0, 6, 3, 71
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\TransitionAdminister.ts", "TypeScript", 35, 0, 0, 0, 0, 7, 42
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\Administrator\URLAdministrator.ts", "TypeScript", 31, 0, 0, 0, 0, 4, 35
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\App.ts", "TypeScript", 148, 0, 0, 0, 0, 10, 158
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\exampleInputData.json", "JSON", 0, 0, 40, 0, 0, 4, 44
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\index.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\interface\AppInterfaces.ts", "TypeScript", 32, 0, 0, 0, 0, 3, 35
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\interface\PageStatesStructure.ts", "TypeScript", 8, 0, 0, 0, 0, 1, 9
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\test\exampleData.json", "JSON", 0, 0, 50, 0, 0, 0, 50
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\type\TransitionInfo.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\utility\aboutElement.ts", "TypeScript", 27, 0, 0, 0, 1, 5, 33
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\IView.ts", "TypeScript", 3, 0, 0, 0, 1, 0, 4
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\Input\NumberInputCupsuled.ts", "TypeScript", 51, 0, 0, 0, 0, 4, 55
"c:\Users\Appbird\Documents\Project\Web\KirbySpeedScoreRecorders\src\ts\client\view\parts\Input\RadioButtonCupsuled.ts", "TypeScript", 58, 0, 0, 0, 0, 5, 63
